profile_id,rent_room_id,score,timestamp
B00092,A00290,2,2018-01-02 05:58:27
B00008,A02884,2,2018-01-02 06:08:11
B00044,A00571,2,2018-01-02 06:17:53
B00016,A01520,3,2018-01-02 06:24:25
B00082,A00145,2,2018-01-02 06:39:18
B00026,A02798,4,2018-01-02 07:11:50
B00080,A02510,4,2018-01-02 07:16:05
B00014,A01773,2,2018-01-02 07:36:00
B00060,A01832,5,2018-01-02 07:37:03
B00042,A01511,3,2018-01-02 07:45:42
B00098,A00111,5,2018-01-02 07:48:18
B00090,A00977,2,2018-01-02 08:02:15
B00058,A03585,1,2018-01-02 08:06:41
B00037,A02292,2,2018-01-02 08:07:09
B00076,A02500,3,2018-01-02 08:11:39
B00032,A00066,2,2018-01-02 08:25:00
B00018,A03581,4,2018-01-02 08:31:43
B00052,A03387,4,2018-01-02 08:33:25
B00055,A01129,3,2018-01-02 08:36:04
B00031,A03065,4,2018-01-02 08:42:11
B00067,A00727,5,2018-01-02 08:44:17
B00084,A00426,3,2018-01-02 08:55:39
B00081,A02785,4,2018-01-02 09:12:17
B00093,A00999,2,2018-01-02 09:25:01
B00059,A02399,5,2018-01-02 09:26:13
B00040,A03828,5,2018-01-02 09:30:05
B00084,A00413,4,2018-01-02 09:57:49
B00037,A02548,5,2018-01-02 10:00:23
B00026,A01686,1,2018-01-02 10:09:40
B00029,A02396,4,2018-01-02 10:39:40
B00010,A02833,2,2018-01-02 10:40:51
B00087,A01325,2,2018-01-02 10:53:09
B00006,A01610,2,2018-01-02 11:08:31
B00084,A01854,2,2018-01-02 11:36:11
B00065,A02547,3,2018-01-02 11:40:44
B00006,A03237,1,2018-01-02 11:51:18
B00091,A00265,4,2018-01-02 11:55:21
B00066,A00981,2,2018-01-02 12:35:56
B00092,A03323,2,2018-01-02 12:40:03
B00085,A02939,3,2018-01-02 12:57:32
B00039,A02759,2,2018-01-02 12:58:27
B00006,A02890,2,2018-01-02 12:59:35
B00076,A01661,5,2018-01-02 13:00:04
B00097,A01489,5,2018-01-02 13:00:39
B00005,A02839,1,2018-01-02 13:03:39
B00055,A01995,1,2018-01-02 13:03:57
B00064,A03238,3,2018-01-02 13:05:01
B00013,A02475,5,2018-01-02 13:05:48
B00073,A02389,3,2018-01-02 13:52:35
B00045,A00226,1,2018-01-02 13:57:18
B00025,A00986,3,2018-01-02 14:01:48
B00046,A02257,1,2018-01-02 14:07:55
B00055,A03791,3,2018-01-02 14:56:10
B00068,A03058,5,2018-01-02 15:12:09
B00021,A00899,3,2018-01-02 15:13:13
B00047,A02611,3,2018-01-02 15:26:13
B00020,A01998,3,2018-01-02 15:27:12
B00085,A02244,1,2018-01-02 15:28:39
B00074,A03554,3,2018-01-02 15:35:41
B00032,A02665,1,2018-01-02 16:05:34
B00043,A00801,4,2018-01-02 16:10:35
B00043,A03551,2,2018-01-02 16:14:03
B00053,A02799,4,2018-01-02 16:22:13
B00095,A01648,3,2018-01-02 16:28:46
B00015,A01571,2,2018-01-02 16:31:08
B00043,A02088,5,2018-01-02 16:48:13
B00075,A03663,5,2018-01-02 17:11:54
B00063,A01945,1,2018-01-02 17:16:52
B00076,A00515,5,2018-01-02 17:40:14
B00070,A03182,1,2018-01-02 17:44:09
B00096,A00700,4,2018-01-02 17:46:24
B00071,A01104,2,2018-01-02 17:47:06
B00014,A01150,5,2018-01-02 17:55:34
B00068,A02521,1,2018-01-02 18:06:12
B00049,A02974,5,2018-01-02 18:09:21
B00034,A01432,5,2018-01-02 18:13:05
B00009,A02797,2,2018-01-02 18:36:07
B00053,A00337,2,2018-01-02 18:39:02
B00084,A01935,3,2018-01-02 18:41:40
B00080,A03425,5,2018-01-02 19:16:57
B00055,A02063,3,2018-01-02 19:22:39
B00044,A00706,1,2018-01-02 19:51:52
B00008,A00482,4,2018-01-02 19:58:43
B00030,A02828,1,2018-01-02 20:19:17
B00019,A03759,2,2018-01-02 20:32:58
B00100,A00501,4,2018-01-02 21:08:25
B00064,A02655,4,2018-01-02 21:16:01
B00056,A02940,3,2018-01-02 21:21:24
B00065,A01925,1,2018-01-02 21:47:26
B00012,A01296,5,2018-01-02 22:36:44
B00083,A00750,3,2018-01-02 22:48:27
B00004,A03472,2,2018-01-02 22:53:39
B00095,A00582,2,2018-01-02 23:04:24
B00002,A00810,3,2018-01-02 23:06:20
B00057,A03360,2,2018-01-02 23:19:16
B00099,A00038,2,2018-01-02 23:20:29
B00090,A02799,2,2018-01-02 23:20:42
B00064,A03788,2,2018-01-02 23:23:53
B00035,A01718,2,2018-01-02 23:32:07
B00016,A01170,2,2018-01-02 23:56:24
B00025,A01998,5,2018-01-03 00:05:56
B00001,A00167,4,2018-01-03 00:17:51
B00041,A00458,5,2018-01-03 01:00:39
B00082,A02568,1,2018-01-03 01:17:35
B00035,A00681,5,2018-01-03 01:47:36
B00044,A03616,5,2018-01-03 01:49:58
B00089,A00518,3,2018-01-03 02:07:38
B00047,A02682,4,2018-01-03 02:15:19
B00060,A00109,5,2018-01-03 02:35:12
B00060,A02413,1,2018-01-03 03:34:34
B00028,A00349,3,2018-01-03 03:34:36
B00072,A00270,4,2018-01-03 03:49:24
B00051,A02359,2,2018-01-03 03:55:47
B00100,A03109,2,2018-01-03 03:57:24
B00041,A01970,5,2018-01-03 04:02:10
B00093,A01500,5,2018-01-03 04:02:32
B00097,A03456,5,2018-01-03 04:11:43
B00092,A03414,2,2018-01-03 04:11:58
B00023,A01746,2,2018-01-03 04:20:18
B00068,A02484,1,2018-01-03 04:32:14
B00013,A00004,3,2018-01-03 04:46:09
B00098,A03678,1,2018-01-03 04:46:38
B00082,A00330,1,2018-01-03 04:56:33
B00068,A03628,4,2018-01-03 05:04:32
B00086,A01412,3,2018-01-03 05:14:22
B00019,A00717,1,2018-01-03 05:26:55
B00077,A03000,5,2018-01-03 05:39:21
B00048,A00659,4,2018-01-03 05:44:52
B00039,A02977,3,2018-01-03 06:15:35
B00030,A01757,5,2018-01-03 06:24:57
B00091,A00585,3,2018-01-03 06:33:32
B00095,A01150,5,2018-01-03 06:41:53
B00080,A00959,3,2018-01-03 06:46:20
B00083,A02597,1,2018-01-03 07:04:39
B00064,A03672,2,2018-01-03 07:26:13
B00041,A03336,4,2018-01-03 07:51:21
B00071,A02620,1,2018-01-03 07:52:49
B00002,A02740,2,2018-01-03 08:02:05
B00039,A02407,1,2018-01-03 08:26:50
B00013,A00114,2,2018-01-03 08:27:12
B00097,A00772,4,2018-01-03 08:30:54
B00011,A01288,2,2018-01-03 08:38:06
B00028,A03756,1,2018-01-03 08:46:56
B00070,A00275,1,2018-01-03 08:49:32
B00039,A00437,4,2018-01-03 08:54:23
B00015,A00680,1,2018-01-03 08:57:42
B00050,A03410,2,2018-01-03 08:58:49
B00025,A03272,5,2018-01-03 09:01:34
B00012,A00640,4,2018-01-03 09:02:35
B00003,A02304,3,2018-01-03 09:26:57
B00015,A02591,4,2018-01-03 09:46:37
B00079,A01011,4,2018-01-03 10:08:48
B00078,A01667,2,2018-01-03 10:22:11
B00067,A01151,1,2018-01-03 10:30:45
B00042,A00266,3,2018-01-03 10:36:43
B00067,A03626,3,2018-01-03 12:19:23
B00044,A00573,4,2018-01-03 12:21:59
B00005,A01847,4,2018-01-03 12:25:30
B00027,A00591,2,2018-01-03 12:35:13
B00075,A00855,1,2018-01-03 12:43:49
B00005,A01767,5,2018-01-03 12:45:14
B00100,A01191,2,2018-01-03 12:46:42
B00048,A01688,5,2018-01-03 12:50:36
B00087,A03249,3,2018-01-03 12:51:44
B00001,A02102,3,2018-01-03 13:17:41
B00041,A03565,4,2018-01-03 13:20:26
B00003,A03221,2,2018-01-03 13:26:36
B00043,A01768,4,2018-01-03 13:27:42
B00031,A03215,2,2018-01-03 13:32:24
B00078,A01684,4,2018-01-03 13:43:16
B00033,A03175,5,2018-01-03 14:04:37
B00049,A01681,4,2018-01-03 14:08:04
B00009,A02936,3,2018-01-03 14:13:16
B00012,A03216,5,2018-01-03 14:14:05
B00066,A01824,3,2018-01-03 14:25:24
B00079,A01471,2,2018-01-03 14:25:57
B00023,A01857,4,2018-01-03 14:46:29
B00010,A01455,1,2018-01-03 14:49:19
B00071,A01989,1,2018-01-03 15:21:49
B00089,A03667,1,2018-01-03 15:30:19
B00003,A02200,1,2018-01-03 15:54:58
B00039,A01775,4,2018-01-03 16:26:31
B00065,A02550,2,2018-01-03 16:26:51
B00063,A01528,4,2018-01-03 16:27:02
B00060,A02238,3,2018-01-03 16:51:54
B00055,A00694,2,2018-01-03 16:52:29
B00005,A01690,5,2018-01-03 17:22:49
B00010,A03721,2,2018-01-03 17:44:24
B00032,A02131,4,2018-01-03 17:44:53
B00033,A01226,2,2018-01-03 18:39:16
B00015,A02388,4,2018-01-03 19:09:45
B00041,A00055,2,2018-01-03 19:21:53
B00054,A02176,2,2018-01-03 19:38:55
B00056,A01644,2,2018-01-03 19:51:56
B00010,A01133,4,2018-01-03 20:15:28
B00084,A01651,3,2018-01-03 20:24:33
B00017,A00932,3,2018-01-03 20:30:50
B00097,A02951,2,2018-01-03 21:22:00
B00092,A00410,3,2018-01-03 21:24:38
B00054,A00580,1,2018-01-03 21:29:09
B00034,A02432,5,2018-01-03 21:47:03
B00049,A02832,3,2018-01-03 21:47:28
B00037,A00239,1,2018-01-03 22:10:05
B00084,A01260,3,2018-01-03 22:18:17
B00013,A01783,3,2018-01-03 23:07:45
B00050,A00034,4,2018-01-03 23:09:33
B00080,A01636,2,2018-01-03 23:10:32
B00048,A01262,2,2018-01-03 23:15:58
B00087,A01831,4,2018-01-03 23:34:26
B00066,A02776,3,2018-01-03 23:41:04
B00028,A02650,4,2018-01-03 23:42:37
B00079,A00880,5,2018-01-03 23:53:53
B00085,A00282,1,2018-01-03 23:56:13
B00042,A01648,5,2018-01-04 00:32:07
B00034,A03778,1,2018-01-04 00:46:39
B00030,A01602,3,2018-01-04 00:48:02
B00038,A00612,5,2018-01-04 01:10:47
B00028,A00665,1,2018-01-04 01:30:36
B00005,A03047,4,2018-01-04 01:31:43
B00071,A02556,2,2018-01-04 01:39:15
B00064,A00701,1,2018-01-04 01:41:24
B00085,A02380,3,2018-01-04 01:43:30
B00060,A02960,1,2018-01-04 01:45:12
B00099,A00812,5,2018-01-04 01:53:26
B00068,A03197,1,2018-01-04 02:05:55
B00033,A00652,5,2018-01-04 02:10:35
B00079,A02319,3,2018-01-04 02:21:54
B00082,A03158,3,2018-01-04 02:23:09
B00036,A01055,4,2018-01-04 02:36:35
B00096,A03531,1,2018-01-04 02:40:28
B00086,A03437,3,2018-01-04 02:55:50
B00013,A02994,3,2018-01-04 03:04:38
B00049,A00739,4,2018-01-04 03:05:17
B00067,A03651,3,2018-01-04 03:45:01
B00036,A03573,1,2018-01-04 03:46:59
B00057,A03551,4,2018-01-04 03:47:58
B00004,A01908,2,2018-01-04 03:48:13
B00058,A00134,4,2018-01-04 03:51:32
B00038,A02828,2,2018-01-04 04:01:28
B00013,A00582,4,2018-01-04 04:12:09
B00046,A03575,1,2018-01-04 04:39:49
B00042,A03464,2,2018-01-04 04:47:28
B00003,A01690,3,2018-01-04 04:50:23
B00056,A02410,3,2018-01-04 04:56:28
B00084,A03181,5,2018-01-04 05:20:32
B00002,A02802,5,2018-01-04 05:23:29
B00025,A01018,2,2018-01-04 05:23:54
B00082,A01258,5,2018-01-04 05:27:07
B00082,A02424,5,2018-01-04 05:28:45
B00008,A01417,3,2018-01-04 05:38:40
B00063,A02145,5,2018-01-04 05:42:32
B00001,A01776,2,2018-01-04 06:03:42
B00093,A03039,5,2018-01-04 06:16:37
B00073,A03637,3,2018-01-04 06:38:21
B00067,A01775,1,2018-01-04 07:01:09
B00046,A02423,4,2018-01-04 07:04:14
B00060,A02939,1,2018-01-04 07:12:46
B00051,A03144,2,2018-01-04 07:19:53
B00044,A02516,4,2018-01-04 08:02:16
B00076,A02982,4,2018-01-04 08:11:54
B00011,A00304,3,2018-01-04 08:16:01
B00049,A00429,1,2018-01-04 08:23:34
B00042,A01263,3,2018-01-04 08:26:10
B00019,A01554,3,2018-01-04 08:36:11
B00052,A01420,4,2018-01-04 08:43:16
B00012,A00725,1,2018-01-04 08:44:05
B00096,A03021,1,2018-01-04 08:47:43
B00084,A00137,2,2018-01-04 08:57:13
B00058,A03193,2,2018-01-04 09:06:04
B00097,A00049,4,2018-01-04 09:12:45
B00075,A00830,1,2018-01-04 09:29:02
B00073,A00916,4,2018-01-04 09:33:50
B00034,A00021,5,2018-01-04 09:35:20
B00092,A03320,1,2018-01-04 09:45:51
B00060,A00676,3,2018-01-04 09:52:49
B00047,A00600,3,2018-01-04 10:01:03
B00020,A01770,2,2018-01-04 10:08:36
B00046,A02043,3,2018-01-04 10:14:53
B00034,A02608,5,2018-01-04 10:19:17
B00074,A00352,2,2018-01-04 10:21:08
B00057,A03186,3,2018-01-04 10:40:45
B00046,A03077,3,2018-01-04 10:49:39
B00015,A00919,4,2018-01-04 10:58:56
B00081,A02334,4,2018-01-04 11:14:27
B00030,A01788,1,2018-01-04 11:16:14
B00017,A03383,4,2018-01-04 11:19:56
B00026,A01819,5,2018-01-04 11:31:07
B00010,A00053,3,2018-01-04 12:04:52
B00093,A03783,5,2018-01-04 12:05:46
B00053,A02621,5,2018-01-04 12:06:14
B00022,A02920,5,2018-01-04 12:06:43
B00049,A03357,5,2018-01-04 12:11:04
B00026,A02590,2,2018-01-04 12:52:41
B00016,A02879,1,2018-01-04 12:58:12
B00044,A00582,3,2018-01-04 13:01:00
B00026,A01636,1,2018-01-04 13:07:00
B00007,A00729,1,2018-01-04 13:11:29
B00094,A02295,4,2018-01-04 13:12:12
B00077,A01677,1,2018-01-04 13:14:41
B00076,A02032,4,2018-01-04 13:31:47
B00015,A01205,2,2018-01-04 14:01:59
B00005,A01140,4,2018-01-04 14:02:41
B00027,A01923,2,2018-01-04 14:14:07
B00032,A01278,4,2018-01-04 14:28:54
B00074,A03401,2,2018-01-04 14:39:00
B00009,A00912,1,2018-01-04 14:45:32
B00031,A00319,4,2018-01-04 14:58:27
B00070,A00985,4,2018-01-04 15:00:52
B00079,A02853,1,2018-01-04 15:06:45
B00077,A01401,1,2018-01-04 15:07:37
B00046,A01086,1,2018-01-04 15:27:36
B00069,A00521,3,2018-01-04 15:48:31
B00013,A03183,4,2018-01-04 15:49:55
B00094,A01817,1,2018-01-04 16:07:45
B00075,A01768,3,2018-01-04 16:07:57
B00068,A02197,1,2018-01-04 16:09:27
B00097,A03190,1,2018-01-04 16:10:48
B00029,A03692,2,2018-01-04 16:14:11
B00098,A00581,5,2018-01-04 16:20:54
B00024,A01394,5,2018-01-04 16:36:25
B00028,A00674,5,2018-01-04 16:36:55
B00080,A03488,4,2018-01-04 16:43:10
B00030,A00090,3,2018-01-04 16:54:35
B00049,A02780,5,2018-01-04 16:55:57
B00084,A00655,3,2018-01-04 17:18:14
B00085,A03478,3,2018-01-04 17:33:19
B00046,A02386,3,2018-01-04 18:01:18
B00059,A00961,3,2018-01-04 18:05:05
B00090,A00804,4,2018-01-04 18:06:38
B00015,A01824,4,2018-01-04 18:18:29
B00004,A00727,3,2018-01-04 18:18:46
B00014,A02111,1,2018-01-04 18:47:47
B00031,A03174,2,2018-01-04 19:07:51
B00047,A01626,2,2018-01-04 19:23:09
B00031,A03226,4,2018-01-04 19:34:07
B00066,A02218,3,2018-01-04 19:42:56
B00073,A00154,5,2018-01-04 19:56:33
B00025,A01309,5,2018-01-04 20:02:45
B00056,A01274,5,2018-01-04 20:07:56
B00054,A01182,3,2018-01-04 20:11:57
B00003,A00128,2,2018-01-04 20:26:37
B00047,A01925,5,2018-01-04 20:49:04
B00042,A01074,3,2018-01-04 20:57:38
B00079,A01040,3,2018-01-04 21:02:25
B00100,A00048,1,2018-01-04 21:26:59
B00036,A01730,3,2018-01-04 21:29:23
B00058,A02891,5,2018-01-04 21:29:43
B00046,A02891,5,2018-01-04 22:17:06
B00019,A02938,5,2018-01-04 22:26:38
B00052,A02850,3,2018-01-04 22:26:51
B00062,A01482,4,2018-01-04 22:29:16
B00082,A01312,5,2018-01-04 22:43:39
B00081,A01216,2,2018-01-04 22:44:22
B00023,A00940,1,2018-01-04 22:44:53
B00034,A02118,5,2018-01-04 22:50:05
B00033,A00966,1,2018-01-04 23:09:29
B00023,A00819,1,2018-01-04 23:28:19
B00047,A03370,3,2018-01-04 23:36:07
B00021,A02279,4,2018-01-04 23:39:37
B00007,A01038,5,2018-01-04 23:53:53
B00077,A02068,3,2018-01-05 00:09:39
B00096,A02137,3,2018-01-05 00:12:47
B00094,A01864,1,2018-01-05 00:16:46
B00046,A00385,1,2018-01-05 00:18:40
B00026,A03307,5,2018-01-05 00:30:12
B00039,A01156,1,2018-01-05 00:49:21
B00068,A02343,2,2018-01-05 00:51:52
B00091,A02756,4,2018-01-05 00:52:43
B00018,A02944,3,2018-01-05 01:03:15
B00003,A02534,1,2018-01-05 01:05:22
B00061,A03742,1,2018-01-05 01:09:15
B00010,A00713,5,2018-01-05 01:21:41
B00041,A03151,2,2018-01-05 01:26:27
B00039,A00753,4,2018-01-05 01:28:25
B00035,A01958,1,2018-01-05 01:38:44
B00034,A00665,1,2018-01-05 01:41:50
B00075,A00484,2,2018-01-05 01:49:10
B00074,A02508,4,2018-01-05 02:24:38
B00037,A02610,1,2018-01-05 02:38:56
B00019,A03070,5,2018-01-05 02:44:43
B00089,A03794,4,2018-01-05 03:10:39
B00023,A00800,5,2018-01-05 03:12:11
B00038,A03341,4,2018-01-05 03:16:47
B00084,A02122,4,2018-01-05 03:23:49
B00041,A00730,4,2018-01-05 03:43:26
B00093,A03652,1,2018-01-05 03:48:42
B00093,A01877,3,2018-01-05 04:11:20
B00053,A03163,2,2018-01-05 04:19:54
B00003,A00015,4,2018-01-05 04:27:04
B00076,A02904,3,2018-01-05 04:35:18
B00001,A00196,3,2018-01-05 05:21:38
B00035,A01215,5,2018-01-05 05:37:46
B00049,A00567,2,2018-01-05 05:45:19
B00020,A02830,5,2018-01-05 05:51:18
B00028,A02728,1,2018-01-05 06:01:01
B00028,A01259,3,2018-01-05 06:18:58
B00054,A02261,5,2018-01-05 06:23:26
B00031,A00896,2,2018-01-05 06:26:00
B00067,A02979,4,2018-01-05 06:29:23
B00057,A00198,1,2018-01-05 06:45:36
B00078,A02750,3,2018-01-05 06:50:37
B00070,A01037,4,2018-01-05 07:01:00
B00097,A00065,1,2018-01-05 07:11:25
B00045,A00720,5,2018-01-05 07:15:13
B00095,A01512,2,2018-01-05 07:22:54
B00097,A01597,2,2018-01-05 08:12:04
B00089,A01183,2,2018-01-05 08:13:35
B00088,A03181,4,2018-01-05 08:24:56
B00055,A02257,3,2018-01-05 08:47:48
B00012,A03802,3,2018-01-05 09:01:36
B00037,A00825,2,2018-01-05 09:09:47
B00040,A03576,1,2018-01-05 09:12:32
B00062,A02654,3,2018-01-05 09:21:54
B00053,A00423,2,2018-01-05 09:27:58
B00068,A03188,4,2018-01-05 09:32:23
B00093,A00137,5,2018-01-05 09:35:03
B00066,A01799,5,2018-01-05 09:37:27
B00041,A03058,3,2018-01-05 09:38:54
B00046,A01815,5,2018-01-05 09:50:42
B00078,A03367,3,2018-01-05 09:51:26
B00083,A01348,4,2018-01-05 10:10:22
B00074,A00338,3,2018-01-05 10:13:03
B00048,A03139,1,2018-01-05 10:15:43
B00091,A00171,4,2018-01-05 10:36:59
B00004,A03357,4,2018-01-05 10:38:57
B00099,A00956,4,2018-01-05 11:12:14
B00007,A02791,5,2018-01-05 11:17:32
B00045,A00056,2,2018-01-05 11:27:48
B00031,A03492,4,2018-01-05 11:28:45
B00033,A03448,3,2018-01-05 11:32:28
B00100,A00124,3,2018-01-05 11:57:36
B00046,A02793,3,2018-01-05 12:02:42
B00042,A00984,3,2018-01-05 12:24:09
B00091,A00191,4,2018-01-05 12:28:07
B00079,A03808,4,2018-01-05 12:37:22
B00016,A00704,2,2018-01-05 12:52:00
B00100,A01618,3,2018-01-05 13:04:41
B00098,A02310,2,2018-01-05 13:14:28
B00061,A01045,1,2018-01-05 13:30:57
B00027,A01172,3,2018-01-05 13:48:22
B00084,A01980,3,2018-01-05 13:48:58
B00024,A01978,4,2018-01-05 14:02:37
B00038,A01202,1,2018-01-05 14:13:35
B00012,A00380,3,2018-01-05 14:24:18
B00038,A00596,1,2018-01-05 14:29:16
B00089,A01001,3,2018-01-05 14:32:06
B00080,A01546,2,2018-01-05 14:33:01
B00067,A01914,4,2018-01-05 14:38:10
B00016,A01909,4,2018-01-05 14:39:58
B00095,A02432,2,2018-01-05 14:41:44
B00043,A00415,3,2018-01-05 14:52:24
